beta,sigma,gamma,rho,phi,R0
7.6451062133493854,4.980515748270242,6.814659931814276,0.37995420692274984,13.995605506955156,1.1218617348252649
5.271338633583692,4.383774845595911,4.480439832577465,0.2642234983041886,14.141752748604965,1.1765225804965773
5.007310359778576,4.475481608903966,4.229725505338482,0.2670220638661893,15.10133635342971,1.1838381364130313
4.329592537355699,5.024130542951084,3.628656505831774,0.3083656150234151,14.104497957979264,1.1931668181866815
4.650233032421333,5.384041103775442,3.966765558717017,0.30935115744287695,16.51685085310038,1.1722984289309428
4.161477998482845,6.031468985692813,3.5457859266507805,0.3079197284537171,12.879234017290718,1.1736405086399633
6.425061363602892,4.382048356815169,5.566770632070453,0.3245761916475087,16.527566122893603,1.1541810841976823
5.84838513008875,4.363122909508441,5.011346644499233,0.30053350672012746,17.48149887670741,1.1670286541659023
5.808955929401545,4.10809011697314,4.941403043913538,0.3163998748959883,15.019210620189419,1.1755681286829245
6.2998040796871875,4.281933196731821,5.434554753552331,0.3107504581782331,14.985943502493356,1.159212551050163
7.192917230775395,3.876053289266641,6.2055368591719136,0.3437065569549598,10.179910981909856,1.1591128042602974
7.357401680741508,4.021185969918518,6.373029186826285,0.33993344099388884,11.425855409887118,1.1544591221942029
6.788743215572048,4.476006020714936,5.916877878230421,0.3427899945623336,13.054026939705734,1.1473522616631018
6.5341579665410086,4.553963730967668,5.712550817214247,0.35754068486125146,14.573007634359566,1.143824917382078
5.139423584602073,4.6462503973533105,4.389577632859854,0.312806698553433,19.762605832871625,1.1708241690792667
6.676390971669226,4.0169648583992865,5.742284533481145,0.31253097057557633,20.770044675791627,1.1626715696064258
8.029641093813092,3.1353152385261778,6.79111305012966,0.3006278868711422,11.828641860603982,1.18237482347018
6.530841076865898,3.951797394180471,5.5879815179910315,0.32693292759295206,14.483424774775974,1.1687298993096598
8.622228587072385,3.539085820432741,7.4695201647122245,0.320254230264749,7.4164311850325895,1.1543216159728475
7.746545564811785,3.0445669741797894,6.474939716471977,0.27557808775755144,24.979094440930897,1.1963888320233926
9.44516711829262,3.310806463247802,8.132392081483763,0.3271060143679214,15.657555758591766,1.1614254482144126
9.184513848410441,3.3494128353541472,7.926662589267224,0.3227578410741062,11.861589904072915,1.1586861109549889
9.400085390374121,3.504452306343116,8.133829747273953,0.3152529770950071,11.323888261720525,1.1556776675248892
9.255489745449703,3.372086306226028,7.941849971272364,0.3135694169677265,10.988888649177161,1.1654072765072494
9.26801382643015,3.40814231422784,7.964481748891585,0.3274770750667385,9.9570974148021,1.1636681605454087
9.203624250275524,3.3999906049769546,7.982496865839432,0.32821208814247166,9.918175864365859,1.1529756171482917
9.1159034419763,3.569208387668617,7.926332472467554,0.33985795885887665,8.86678759093168,1.1500783588930656
9.691151903797438,2.9293274837721626,8.178155420107242,0.29763993764440455,22.422805198179717,1.1850046136284307
8.31427224034097,3.362184896790409,7.123922963996553,0.3326065505808222,11.165789305573405,1.1670918231935266
9.128591278399018,3.609767739559684,7.932156876906976,0.313479223831725,13.926492102106973,1.1508334265268052
8.912080074014742,3.1794903615596817,7.6244779681352135,0.30157473822440695,14.636389572856716,1.168877411838656
9.029765582964632,3.166102275038834,7.70007928772898,0.28981470580483165,13.39987746578485,1.172684753695286
9.887046964414791,2.442818213048534,8.111946703513896,0.27541798508364207,11.185792669126993,1.2188254343599134
9.448639224472013,3.484647445396712,8.182267546499494,0.3293634667535843,19.858503601258047,1.1547702602946897
9.044555282810384,3.291242687034685,7.7413936867074655,0.32366186194319063,20.61106998949835,1.168336820066462
5.056865884616215,4.40167543169329,4.285786811762142,0.3111551956936846,9.163687208247001,1.1799154056701753
6.938564251438503,4.596193315820265,6.094470403843972,0.2936352787683164,8.50618120717182,1.1385015910590255
6.698617358057368,4.437869276456956,5.824207673677516,0.29608495148500064,7.998028056344213,1.1501336719725404
9.52072360276574,2.954770834104142,8.069200660003311,0.2938838845517589,17.278654355711275,1.1798843533483072
9.483380491191276,2.7290125947436326,7.900319079809955,0.2971445816693209,13.782457408466682,1.2003794271331383
6.3587961769255354,4.164918378029404,5.49519527169738,0.3267506750181691,13.12888376181387,1.157155635519646
6.665292585117526,3.9550682790629788,5.713825214061892,0.30338042615568145,10.551448771046033,1.1665202093886324
6.688389057175804,3.955670680483098,5.712592375629068,0.30328885298002345,10.552607199541637,1.1708150376192876
9.387627337285519,2.923250491927355,7.9333538216802175,0.29270770332918755,18.826192431055446,1.183311314268005
9.004463762122823,3.24551483445145,7.66537062435931,0.3192983786972153,18.07765713750507,1.174693854137736
9.93434807917617,3.064017259504766,8.508626862182682,0.30036291432697093,10.851785580403824,1.1675618451821206
9.85519876262867,2.433522699323886,8.045358713604374,0.29424773754415495,9.839879095732702,1.2249545500020937
9.01235186747159,3.6961077761779495,7.863954661873995,0.3174106018267817,11.672912035779698,1.1460330399875334
9.266674599337808,2.9177730865399467,7.817378372659484,0.31483045510442115,15.294830598153382,1.1853941510298511
9.684648268948033,2.7403267927352717,8.119583324856807,0.3049826297478303,18.539869521067992,1.1927518791881881
9.712000597225872,2.8453825253155816,8.201118958682603,0.30257155718267525,17.94075488762739,1.1842287188071676
9.88263048984457,2.5162780733360206,8.119879552451135,0.2611268834464754,16.836985318502087,1.2170907740695878
9.669506896969395,2.4348658198530653,7.942730664416867,0.2581695020712375,13.894879304117373,1.217403347225208
8.89014647722247,3.4255749326734444,7.689947346439978,0.2882514656752894,15.08370080325576,1.1560737774541612
9.61503948770435,3.232544384704845,8.208261497869202,0.3587926536332559,18.13826137768756,1.1713856204752169
9.172584195445095,3.72258936133965,8.016122378405802,0.3192348278085993,17.260836320896928,1.1442669862619144
9.43435743735856,2.76437691313139,7.921295333125384,0.3145407975825013,10.875278327129772,1.1910119545607436
9.670613176341707,2.9481271463368506,8.169497097958645,0.310942983249196,10.205036763141946,1.1837464485737015
9.64305970357546,2.9702266183535713,8.153589875650155,0.3097279919318173,10.245569913697663,1.1826765695406696
8.960042686367862,2.723833591848269,7.407740858480185,0.28250201737167047,26.07577562816352,1.2095513136249418
9.622112585627542,2.974959326670463,8.129482305794134,0.3208754528428794,13.41588864272251,1.1836070519237818
