q,rho_0-4,rho_5-9,rho_10-19,rho_20-29,rho_30-49,rho_50+,seed,phi
0.27946305450176195,0.05610802452713564,0.01591186353720834,0.0042109951833499745,0.007053312676034256,0.009003833828606408,0.026466490345939675,146.21139523456424,5.422520233722347
0.27950388048198793,0.05773882438824294,0.021112583253898205,0.004575257837480338,0.007958573022643033,0.00931732794764091,0.023271379240504708,135.2226558043991,7.412980144892096
0.2774620682100757,0.057769743017524904,0.015501429319032655,0.0052465124424122146,0.007202573410825491,0.00913071887945284,0.02385433648293057,146.40912872971955,4.744547303406253
0.2752255184854181,0.06160635366915509,0.02096300568456391,0.004605821624835974,0.0077660365126216825,0.009641338172304139,0.023222111279362537,151.21658934240872,5.720941058684632
0.27670551060586196,0.06593972389238074,0.02052993026696914,0.0044941976994858504,0.007815763937861035,0.008609904372022251,0.023481014853523666,156.18746043149454,6.182238462386072
0.28352670664167695,0.05946552529879718,0.015572803490249424,0.004915717444120829,0.0070457469980363206,0.00918972212943953,0.02347900699066359,130.22807740198203,5.461035024772508
0.28364625580485103,0.059813164782706256,0.018036923832151382,0.0045163744854633875,0.007341276667870094,0.009400923862950144,0.02264616640495699,126.58359948043235,5.209427913946001
0.28483320531329404,0.062217514713159304,0.015984436300363808,0.004907023483987605,0.007283008969595275,0.008969726750230618,0.022072430898214198,123.86340254159624,6.588517240769593
0.28020457660487974,0.060923331348218195,0.017859185625816048,0.004163801663443322,0.007717155468868533,0.010111632423952147,0.019706264768748216,142.97927271683267,6.3088633988018366
0.2762231552671688,0.05901749848832485,0.019319150892173308,0.005073292895588261,0.007056134187931668,0.008366990471067865,0.030187202755642503,141.36216443530176,5.350638866730126
0.28548568506330907,0.057024670510992505,0.018551951146295292,0.004235333289115657,0.007405084238539148,0.009072118481673455,0.018997464478943005,112.98506553113562,5.27420566637073
0.27769231495704605,0.06037410654957248,0.017748911747844077,0.005196230772534913,0.00708688602357394,0.008614464112591593,0.0302088067179097,142.10758852038603,6.588822134843983
0.2804868345764315,0.05726175696920736,0.018895868153885876,0.004246502488376408,0.007812996236671674,0.009601972885311599,0.020122536529773954,137.4936340293833,5.098641154991387
