beta,phi
1.137594344723346,2.0231864531206156
1.1551148170873429,2.036562554010503
1.155943741396563,2.005459177064839
1.1555564883977771,2.0078801680601357
1.1660254057278068,2.030227093719332
1.1691224231069968,2.0655675503272195
1.1691224231069968,2.0655675503272195
1.1450276876221523,2.090343204267073
1.144015890926033,2.0209008825797286
1.135444279259765,2.0776859964389716
1.13259942339717,2.050715912562711
1.1370521147943318,2.029814723914384
1.1559570426698123,2.0063173933895517
1.1165643264483416,2.018064230669385
1.1529747759389868,2.0281977902534316
1.153343979087553,2.007496619226469
1.1349987192862379,2.0076636770627543
1.139164543682067,2.0294311914198477
1.1653121115056968,2.037601790247492
1.1568288843735062,2.0113053337893194
1.1399954879528307,2.0088156057584574
1.1522555755393984,2.02926821439454
1.1256323896714981,2.0219195976318294
1.1206068268358462,2.021062551940159
1.1133542253652589,2.0026727881232484
1.1292529296714822,2.0001739682862665
1.1198394445967557,2.0001585526891095
1.132606695864891,2.000163885656474
1.1475029747297372,2.0027653412227067
1.1346541136185422,2.008771635946612
1.1221301559208505,2.012401910273083
1.141211433566112,2.0739175074524354
1.1609077880387655,2.0067993845576635
1.1533973303812954,2.021144158947194
1.1411755876891894,2.0047157916357357
1.155655508934133,2.008136559740287
1.1391880020912386,2.013451706606701
1.1365332630577085,2.0099494130401547
1.1176588513242525,2.0171437249446487
1.1720007981872191,2.008445311606286
1.1345521607522322,2.0119000248543926
1.140988178951729,2.0449739186294695
1.1233745883008264,2.0023097959549983
1.1402363475318238,2.05008290119813
1.1421346727877164,2.011647516683536
1.1462190561165264,2.0086928677825036
1.1549216107355234,2.007844755926002
1.1608809449680517,2.0545854669000203
1.160023941087558,2.006283158193778
1.134516461646759,2.0161412442265805
1.1614512769214016,2.014066025726157
1.1870312335056248,2.0341297761770103
1.1698262816202056,2.03076373303779
1.1737781160307295,2.0390955357274687
1.142668158192395,2.0465194871076218
1.1385477994583737,2.0439111559987846
1.1581727732174658,2.0044618727569787
1.1402604997497865,2.0171393283027514
1.126431984001129,2.0010264429858986
1.1739843679819455,2.0003498076588597
1.1218748415301043,2.000016755753783
1.1219427186689597,2.0000243255031855
1.1437768434983036,2.0000638895419733
1.1536506648653806,2.000364899546879
1.1400642765589901,2.0003831771796077
1.160736289567097,2.0003524439463716
1.1589714665154625,2.0003578155891044
1.1342603141757224,2.083224892535745
1.1173880411750963,2.0051220381376784
1.1170605211208728,2.0273984754471197
1.144134813235134,2.00117411764369
1.135964155299026,2.001026591305204
1.1505099395361806,2.007386549305807
1.1820620549751863,2.00490751295769
1.1088275001252548,2.0221534002796004
1.1842882167798991,2.012472562111125
1.1903653301459918,2.017019183525649
1.176010036565143,2.020954273632451
1.11868161506542,2.019912481149272
1.1452616310226147,2.011714074998306
1.1570128982159371,2.0074526687456724
1.0955941537174936,2.0082840748731954
1.1844484057508013,2.000144710048067
1.1083549893672628,2.0011099036099234
1.1550831081032742,2.0847648968837973
1.160182863097486,2.0217533963209138
1.132102800648085,2.0049977841133115
1.164854416014641,2.022319755417769
1.1383035525007164,2.0173472808280613
1.156081015270956,2.0264458576306583
1.1706413928221007,2.021517796705857
1.123152678979737,2.0216411338445135
1.1155446424828463,2.0175309133252974
1.1418293039241239,2.032828824343205
1.117859616365943,2.00431672607937
1.1198621455928754,2.0045642884032984
1.1362381298120068,2.0026212230853404
1.1480163618393904,2.031024964413861
1.1811953540396054,2.0198000189354652
1.0872801208948897,2.0205458897791355
1.1576094182323458,2.026964434020813
1.1614733085541882,2.016703548352775
1.1688703812915984,2.01239018167926
1.132939285078989,2.0137101949313703
1.1630184043958471,2.0084302327946286
1.144005592816471,2.0094648314776715
1.1381162335506059,2.0320043424371383
1.1370015169726497,2.013537119208001
1.1370015169726497,2.013537119208001
1.1620102853384267,2.023134294767631
1.1498767169832294,2.08877301097973
1.1498767169832294,2.08877301097973
1.1191465269910756,2.0056179392403
1.1629380011739308,2.0101337634084313
1.147078330173639,2.0096830312653444
1.1284415351058266,2.0558357602313757
1.1501616012162876,2.0007120613175733
1.1521044578920616,2.0010533763699265
1.1367122039134614,2.0022805121221925
1.134551495272051,2.001582844838128
1.141553602012013,2.0293050969691513
1.185026295877653,2.0126603543014214
1.112174185689678,2.033959882393057
1.1588547888661516,2.0171870672757946
1.1481432126721667,2.0296937160037696
1.1486266350361403,2.0047545257867134
1.138262378790458,2.014667420253427
1.138262378790458,2.014667420253427
1.1340360586514704,2.0151765724771487
1.1301906843508749,2.001915885621316
1.1692385129409557,2.003124612745143
1.1480858801004976,2.0009225181460284
1.106282894996641,2.027551035553926
1.103137311116399,2.070311667254786
1.155813861219679,2.0026355614601896
1.1168710669583466,2.0116704982759694
1.1636542757907586,2.010992620148128
1.1493122642086036,2.0381464509445655
1.134128558886928,2.013142868001825
1.1595049619180922,2.005942867939187
1.1197965368106682,2.09878053687961
1.133407887345382,2.0007694087820678
1.1953971273538464,2.075847203724185
1.164796127520077,2.008987274548554
1.164796127520077,2.008987274548554
1.1512349467237268,2.0373508623169023
1.1453072327093152,2.0047162962019627
1.1490243598995056,2.015370138424778
1.1578455820178988,2.0367105290049543
1.1724034028040091,2.0182975039024176
1.17235388653751,2.008087629080784
1.1391479726423674,2.0079598313066165
1.1479452703247985,2.007445772818128
1.1326071482844253,2.0174885955755464
1.1520242703071297,2.007969014387174
1.1625220884357954,2.0429889160263834
1.1185742724276075,2.001928694189982
1.1191035511857634,2.002090307473587
1.1319937745269646,2.0184406913579243
1.1284340524323149,2.0010544116394455
1.1233356719952963,2.0077585734522687
1.1700436835944854,2.018542735201738
1.165611031102789,2.0020601190473277
1.155951089463445,2.0027846087017047
1.1430938394885246,2.016862440947068
1.1571988150628474,2.031479520070528
1.1354101674325114,2.006898667082533
1.180241043824651,2.0007606013465846
1.148329296698037,2.001579969184079
1.1422954269976375,2.004755426214471
1.1783724744108612,2.0131493133387908
1.0931264783933317,2.0051037258107516
1.1093861171079717,2.0058562003139344
1.123095574018079,2.015445818010906
1.123095574018079,2.015445818010906
1.1428266879348266,2.037621878980615
1.1428266879348266,2.037621878980615
1.1245673931554352,2.003201994873026
1.126742783364308,2.019313677428586
1.1648517544156758,2.0246534517854893
1.1648517544156758,2.0246534517854893
1.124759994696468,2.020918259491964
1.124759994696468,2.020918259491964
1.1686347854384762,2.0048505522969187
1.1732654970733234,2.0042898793254045
1.1446215960841717,2.132510613670323
1.1513094507366861,2.0084916186824766
1.1659379326276147,2.0724674040808693
1.1813620645238208,2.0420654612022653
1.1813620645238208,2.0420654612022653
1.1306146384563838,2.0092125242731416
1.1460620207016614,2.0388328624374834
1.1458453167578817,2.011259215892957
1.1555914747384064,2.0055695752622307
1.1279368062389128,2.0189733631787354
1.1453076964926607,2.0295742378638506
1.1453076964926607,2.0295742378638506
1.1411987122770808,2.0059324373759244
1.1558804100423887,2.0129770814235437
1.1377825535162958,2.030603124531795
1.170450721534191,2.0390951583576853
1.1747635826751304,2.0100206349294627
1.1747635826751304,2.0100206349294627
1.1554332205901658,2.04730817679138
1.1634888522240139,2.0038554099198658
1.1270279240409844,2.0622184223786313
1.1270279240409844,2.0622184223786313
1.143206222885939,2.039763083065132
1.143206222885939,2.039763083065132
1.1421188098882398,2.00834576864135
