draw,q,seed,averted_total,rel_reduction,factual_total,counter_total,S0_0-4,rho_0-4,averted_0-4,S0_5-9,rho_5-9,averted_5-9,S0_10-19,rho_10-19,averted_10-19,S0_20-29,rho_20-29,averted_20-29,S0_30-49,rho_30-49,averted_30-49,S0_50+,rho_50+,averted_50+
31,0.3186113646172173,37.9084618284974,7861.852464296641,51.934715161157314,7276.09994364615,15137.952407942787,0.3913611295975652,0.03987143472853439,3812.7385814428776,0.22722564667928655,0.015588436496459765,563.0133705410593,0.448614612482323,0.003727337125554089,509.10538538919633,0.3663574365230685,0.0072322901490738485,1043.1580131388403,0.29176335438059886,0.008783583650288956,1771.4815130366244,0.03467728217093909,0.01648434228998441,162.3556007480442
32,0.3144832508171819,69.0046666674687,6711.172462570379,48.605612189950975,7096.229934385516,13807.402396955897,0.48001065964560174,0.02330062099526311,2647.624948935705,0.24837400264720427,0.014816285896870495,598.1329180448165,0.40529986881227165,0.004064489737551022,557.6254769467741,0.460906570501489,0.005326558582536894,945.2869678628334,0.2819348425577243,0.008973351874583155,1822.1986722493891,0.026088812069712974,0.018014246344632657,140.3034785308612
33,0.31057973480910867,42.70341860186821,7954.2294007765195,51.515513685102576,7486.225001751844,15440.45440252836,0.4099008574610876,0.0383825893699144,3750.921022421,0.283811068226252,0.01284081572070737,552.0583718371286,0.4508444532556114,0.0037736122897396728,524.0948298999822,0.34611805917616806,0.009424755335840647,1287.3867181438634,0.3004990774456486,0.008468407039832067,1724.5134915774936,0.017415334255886167,0.023696266546281618,115.25496689705187
34,0.30785069375511537,34.63681594223646,7671.529886041836,51.836427450962915,7127.965880326474,14799.495766368309,0.34794519699631055,0.04447118510122013,4073.2208011268062,0.220845571459442,0.014896646719544179,517.4187253446503,0.46369804512238166,0.0035355783334422553,481.7829046793265,0.41991485818855956,0.005558761875250202,889.9131948321947,0.33012183147954416,0.0068533653281091155,1527.9071927841028,0.031744910331283197,0.020347595054248765,181.28706727475466
35,0.3240436101577581,48.008456637669305,8546.702153343233,52.97093216541126,7588.0000388980125,16134.702192241242,0.3922476240351852,0.04129455787326935,4111.375600242279,0.30216873115570764,0.011473900196876309,543.0100096993367,0.4133925956163733,0.0044834417664400515,621.8802670590878,0.3777151920519242,0.0080611092577558,1235.7408941309436,0.2824744872677146,0.009187035318554467,1878.1130069738647,0.031238957753366433,0.016676406521577043,156.58237523772098
36,0.3193927555982136,41.44296479541782,7598.216347659021,49.846371692562464,7645.052298898743,15243.268646557768,0.4587895050118156,0.028636981447674827,3138.787890711691,0.2778377931467569,0.013062494143506699,571.6236608717375,0.43346515932571106,0.0039019512208311818,542.8155354976196,0.36068692080159986,0.009402317078805547,1374.7797055914823,0.2892656596742461,0.008752713918199328,1799.733824031352,0.015550949304329648,0.03732632263046718,170.47573095513846
37,0.29514486891392167,42.97121172665217,7247.910046014757,49.58900930076879,7368.050523099479,14615.960569114237,0.425700519110931,0.03478976708298182,3587.883375040242,0.2818011311367412,0.013016897965500254,542.3567127858746,0.46865929412904406,0.003312501393402837,459.38251882295685,0.4781264671724443,0.005098787249070926,888.8814978033664,0.28903328170135045,0.008233918049913923,1655.1031230612155,0.021821312734170796,0.019142742017659017,114.30281850110339
38,0.3140458377955772,39.8254826590035,7665.932005582009,51.4505768666076,7233.671599362887,14899.603604944894,0.39122738470698737,0.03874494177810758,3835.244818644441,0.2236501131179096,0.015770722973941085,572.3542465170054,0.44364821885186323,0.0038092843409242775,526.0765728356723,0.3841742314259323,0.006740975925939146,1032.0505850432014,0.333865964787569,0.006822390727422843,1557.4940219999112,0.022281358822232512,0.021957632418866294,142.7117605417757
39,0.3124339595946555,37.96791029893557,8081.496462623894,53.132397760291646,7128.614135214735,15210.110597838628,0.3563071087849854,0.045172002967661884,4042.7845541384017,0.2704425445629153,0.013427365114012234,552.2510820825138,0.4541058019520753,0.0037243625533513896,515.6216082561695,0.39096436888472835,0.0071593570932690165,1079.1853680006434,0.27712370164344324,0.008938152758044177,1731.1319479422611,0.03135065623123439,0.018336281454418936,160.52190220390418
40,0.31608562854196526,39.49877642570382,6775.653896708292,48.4028077005394,7222.81895765215,13998.472854360441,0.48463673281175995,0.025796130560504366,2889.505722311141,0.2421900533192763,0.014610313230555788,557.3064529939569,0.4495394708654993,0.0035356823002655542,481.7383226609945,0.35518218524047823,0.007568009479085586,1067.7907042428606,0.2982716007900843,0.008030512869285038,1650.7747570356096,0.019442556517837113,0.02322997283599994,128.53793746372983
41,0.302765435832365,37.754328252507015,7739.189409921805,51.977918371725124,7150.189873361996,14889.3792832838,0.35736070827154476,0.04379397711229554,4088.2237400103363,0.3038925621723658,0.011280785884568241,501.4990944987642,0.4617204976354106,0.0035497623971639247,490.68634468850104,0.4177865175033842,0.0060815277772276995,967.8714613873766,0.3168515443099581,0.007323835634768429,1581.5040086587348,0.017080715844324003,0.02301026489827042,109.40476067809223
42,0.2995048731895793,38.786966430684465,6811.636737110258,47.87463450082872,7416.433739317808,14228.070476428069,0.44471043385711906,0.029530964932249822,3203.175785183616,0.25527396677413117,0.013316846978112154,519.4429525026379,0.4659895799321435,0.0034918307465081544,481.0100122123339,0.45121808266094776,0.0054540898795463425,922.2981201075247,0.32092295203143145,0.007172372507019823,1575.2716595941404,0.01867046796911849,0.02113407157188735,110.43820751000563
43,0.2974010056520646,40.77943819179621,7524.297433552377,50.701894914107775,7315.971251274916,14840.26868482729,0.35606105931897364,0.04193182501385995,3951.2189315631967,0.3034279514414066,0.012164432169626503,535.2318252610178,0.4626694072631641,0.003713551133976434,511.4153792728605,0.47612041706127695,0.004937718571421593,863.11983073098,0.30984044186535564,0.007143543760804659,1524.1024511761918,0.02644355343585987,0.01904969672260826,139.20901554813108
44,0.31504813569775797,45.778879829136386,9161.163559717343,54.84411997978234,7542.839646268102,16704.00320598544,0.3854740693993183,0.0489404245629973,4739.857848537725,0.2936242839602583,0.012825784461303504,595.6769328719231,0.42758995171784936,0.004022890652300117,574.1752089896903,0.3590078732889551,0.008878470010801545,1305.2501273484704,0.3074431106297663,0.00827094681532793,1789.6907564563123,0.024209095555608972,0.021720100720170183,156.51268551322204
45,0.3042151598006059,39.37098787627551,8168.5265253619355,53.572864814568,7078.98087159302,15247.507396954956,0.34750418670226674,0.04946140244008999,4388.753673945702,0.2933823305757361,0.012401832366219789,532.9309570219721,0.46212599891197403,0.0036801713508593614,508.37868141845547,0.4633100311966466,0.005531298069853252,939.992670999705,0.25738075922765213,0.00918036587431294,1687.378336181708,0.020440406594649397,0.019984767466790756,111.09220579439304
46,0.310709750584236,47.05127464929262,6966.944899197581,47.835336005098505,7597.486922615092,14564.431821812674,0.47666316259464286,0.025804931966011916,2968.465042475432,0.3070372160582965,0.011484906517640269,529.5756158918189,0.4328404523505207,0.0038364971489536484,524.2503017382545,0.4574881032817163,0.0055231346271074665,960.4662006830899,0.26822020628462967,0.00925319189369552,1820.160590697722,0.02907724065250874,0.019487015659001343,164.02714771126477
47,0.3127833150688981,40.83146745662997,7080.823884509987,48.53758049239019,7507.509140495521,14588.333025005504,0.44392437659753303,0.030382731246752236,3336.1185239141582,0.28159641374607125,0.012839577819628807,551.8489505293376,0.4411266497525648,0.0037442174754382398,510.15164653289514,0.39139275324903916,0.006708475337852416,1037.19352626712,0.3230508958050349,0.0068595326135220645,1531.483455478257,0.018362392857758425,0.02141129930543177,114.02778178821917
48,0.32338462757828007,47.97520829009586,7180.286768484508,48.81879426927635,7527.751141831835,14708.037910316343,0.4702957679356301,0.025891395450027922,3061.1620211025793,0.29156165821797225,0.01117769883899591,520.3307717972929,0.40551088771400196,0.004125885861979134,568.1634716104535,0.356551403997314,0.008760756616239113,1320.303057871942,0.3388296017689894,0.006400703145436667,1543.1147355846585,0.02772109224430821,0.01932439064467,167.2127105175812
49,0.31569920567615256,69.3742459904578,10487.670352701307,57.24848625364504,7831.888886358134,18319.559239059447,0.3933460089116486,0.05580481238543041,5108.013498320151,0.27564934708279015,0.014791394230748149,673.4183825455276,0.4054072317473667,0.005233203034254809,768.1133498392132,0.35711135386859827,0.010415856885560452,1503.8032573870375,0.27482098243892056,0.011608120519664427,2241.9871313418353,0.03353219829673207,0.019275402739890462,192.33473326754208
